127.0.0.1 - - [28/Oct/2023:09:19:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:46 +0900] "GET /Project4/board/Purchase.jsp HTTP/1.1" 200 43268
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/css/output.css HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/home.png HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/logo.png HTTP/1.1" 200 9040
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/css/reset.css HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/js/jquery.js HTTP/1.1" 200 299461
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/%EC%A4%91%EA%B3%A0%EB%A7%A4%EC%9E%85.png HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/%EC%A4%91%EA%B3%A0%ED%8C%90%EB%A7%A4.png HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/css/layout.css HTTP/1.1" 200 6889
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/%EA%B8%B0%EA%B8%B0%EB%8C%80%EC%97%AC.png HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/%ED%8F%AC%ED%86%A0%ED%9B%84%EA%B8%B0.png HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [28/Oct/2023:09:19:47 +0900] "GET /Project4/icon/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD.png HTTP/1.1" 200 738
